description,commit messages,linked issue titles,original,T5,BART,Llama3,DeepSeek-V2,BlueLM
" closes #34966 tests added / passed (all tests passed except those which were auto-cancelled for taking too long) ensure all linting tests pass, see here for how to run them whatsnew entry allows default resolvers to be used with input resolvers in pandas.dataframe.eval. previously cases such as this would break: import pandas as pd df = pd.dataframe({'a':[0,1,2], 'b':[7,8,9]}) d = {'c': 5} df.eval('a+b*c', resolvers=[d]) with pandas.core.computation.ops.undefinedvariableerror: name 'a' is not defined as explained in #34966. following this update, the above works as expected. added a test similar to the above: tests.frame.test_query_eval.testdataframeeval.test_eval_resolvers_combined "," bug: default+input resolvers in df.eval, gh34966  allow default resolvers to be used with input resolvers in dataframe.eval. resolves gh34966  add whatsnew entry ", doc: confusing 'resolvers' kwarg documentation for dataframe.query() ,"allow use of both default+input resolvers in df.eval, gh34966",fix default+input resolvers in df.eval,"allow default resolvers in df.eval, gh34966",fix default+input resolvers in df.eval, default and input resolvers compatibility in DataFrame.eval,allow default resolvers to be used with input resolvers in dataframe.eval
" currently plugin just resolves url() paths relative to the main sass entry file. resolve-url-loader adds the ability to use paths relative to the file where the url() is being used. by default if not configured in the gatsby-plugin-sass, the loader is not being used, but you can activate it and also configure resolve-url-loader plugin with the options it provides. usage has been also documented in the readme.md of the gatsby-plugin-sass fixes #7776, #6438 ", using resolve-url-loader if configured in the options  documenting how to use resolve-url-plugin plugin  fixing small typo , how to use resolve-url-loader with gatsby-plugin-sass in v2? ,add option to enable resolve-url-loader,fix a small typo in gatsby-plugin-sass plugin,use resolve-url-loader if not configured in the options,feat(gatsby-plugin-sass): add resolve-url-loader support, Add resolve-url-loader support to gatsby-plugin-sass,use resolve-url-loader if configured
 for #6869. , refactor mergedencryptcolumnsmergedresulttest  use static import with mockito.mock  use static import with mockito.returns_deep_stubs  use static import with mockito.when  remove useless mock on mergedencryptcolumnsmergedresulttest  add mockeddatasource  use mockeddatasource instead of h2 data source in spring namespace test cases  use mockeddatasource instead of h2 data source in spring namespace test cases  move encrypt spring namespace to encrypt module  refactor encryptspringnamespacetest  move master-slave spring namespace test to current module  remove useless abstractspringjunittest  move shadow spring namespace test to correct module  remove useless xml  move spring sharding test into correct module  revise springnamespacetest  update encryptspringnamespacetest  update masterslavespringnamespacetest  update shadowspringnamespacetest ,,move spring namespace' test cases to correct modules,refactor mergedencryptcolumnsmergedresulttest,move spring namespace tests to encrypt module,refactor spring namespace tests for #6869, Refactor Spring Namespace Tests with MockedDataSource,move encrypt and master-slave spring namespace to correct modules
" there are 2 proposed fixups in discussions in #23280 which i have not implemented: an overhaul to return types and an option type for the two *chainstate functions: #23280 (comment) the change reintroduces stringy return types and is quite involved. it could be discussed in a separate pr. passing in the unix time to verifychainstate instead of a callback to get the time: #23280 (comment) i'm not sure it matters much whether it's a callback or just the actual unix time. also, i think verifydb can take quite a while, and i don't want to impose that the function have to ""run quickly"" in order to have it be correct. if reviewers feel strongly about either of the two fixups listed above, please feel free to open a pr based on mine and i'll close this one! ", node/chainstate: use max_future_block_time  docs: make loadchainstate comment more accurate  style-only: rename *chainstate return values  init: use clang-tidy named args syntax ,,"post-""chainstate loading sequence coalescence"" fixups",reintroduce stringy return types and option type for the two *chainstate functions,make loadchainstate comment more accurate,fix return types and options for chainstate functions, node/chainstate updates and documentation improvements,node/chainstate: use max_future_block_time
" add or edit tests to reflect the change. (run with npm test.) follow the advice from the readme. avoid common mistakes. run npm run lint package-name (or tsc if no tslint.json is present). the package does not already provide its own types, or cannot have its .d.ts files generated via --declaration create it with dts-gen --dt, not by basing it on an existing project. represents shape of module/library correctly tslint.json should be present and it shouldn't have any additional or disabling of rules. just content as { ""extends"": ""dtslint/dt.json"" }. if for reason the some rule need to be disabled, disable it for that line using // tslint:disable-next-line [rulename]  and not for whole package so that the need for disabling can be reviewed. tsconfig.json should have noimplicitany, noimplicitthis, strictnullchecks, and strictfunctiontypes set to true. see react redux | custom hooks and the source code (each file contains a createsomething function which is typed in this package. the current typing for the createetc functions reflect basic return and argument types, but does not reflect the relation between the argument and return type. this is especially important (in fact, without the relation, the type is useless) because the return type cannot be used, in general, when the argument is non-trivial (i.e. the argument is not {}). the depreciation of the typeduseselectorhook is because the new types will obsolete that type. include tests for your changes if you are making substantial changes, consider adding a tslint.json containing { ""extends"": ""dtslint/dt.json"" }. if for reason the any rule need to be disabled, disable it for that line using // tslint:disable-next-line [rulename] and not for whole package so that the need for disabling can be reviewed. add it to notneededpackages.json. ", update index.d.ts  update react-redux-tests.tsx  update index.d.ts ,,improved factory function types and deprecated typeduseselectorhook.,update index.d.ts and update index.d.ts,update types for react redux,update react-redux typings to reflect createSomething function relationships, Update Type Definitions for React Redux to Reflect Custom Hooks and Function Relationships,update index.d.ts and tests for react-redux
" .s16 sign extends on loads, but it seems to be the same as .u16 on stores. since our ir doesn't support primitives for integers smaller than 32 bits, implement the logic manually. in the future we might want to handle 16 and 8 bit operations at its respective level on the ir and use 32 bits operations on the decompilation step when the target api doesn't support smaller integers. while we are at it, abstract the code to avoid repeating logic. used by pc builder simulator used by doom 2016 ", shader/memory: implement ldl.s16 and lds.s16  shader/memory: move unaligned load/store to functions  shader/memory: implement unaligned ldl.s16 and lds.s16  shader/memory: implement stl.s16 and sts.s16 ,,"implement ldl.s16, lds.s16, stl.s16 and sts.s16",implement stl.s16 and sts.s16 on loads,implement ldl.s16 and lds.s18,"implement ldl.s16, lds.s16, stl.s16 and sts.s16"," implement ldl.s16, lds.s16, stl.s16, and sts.s16 for 16-bit operations",implement 16 bit integer load/store
 changes to provide api in objective-c to the values and names for enums. ," sync to thomasvl/protobuf head  added new api to gpbenumdescriptor to enable introspection of enum values.  refactored implementation so that this contains a minimum of added code.  clarified comments regarding behavior in the presence of the alias_allowed option.  added unit tests for new functionality and for the alias case.  oops, fixed spelling error.  more commentsmithing.  addressed tom's comment on the pull request.  noticed two more instances of fixes in the earlier commit. ",,add ability to introspect list of enum values,added api to gpbenumdescriptor to enable introspection of enum values,add objective-c api to enum values,improve enum api in objective-c, Add Objective-C API for Enum Introspection,improved Objective-C API for GPBEnumDescriptor
" why invert colors? when using flameshot in dark environments on a regular basis it would be very useful to invert the colors in the capture, making the screenshot white(ish) background and dark text. thus, enhancing the usability of those screenshots in reports and prints without having to use additional tools or workarounds. also, it's been a feature request for quite a while (#689). how does it work? basically, i copied the savetool and made an inverttool, that inverses all pixels before saving the screenshot. the actual consists of four lines: qpixmap inverted = context.selectedscreenshotarea(); qimage img = inverted.toimage(); img.invertpixels(); inverted.convertfromimage(img); however, it turned out that flameshot requires to update quite a few places in order to add a tool. without much of a documentation i tried to stay close to how the savetool is setup. before merging i'd advise that someone with a way better understanding of this project looks at my modifications in order to spot potentially missing or even unnecessary code for this new tool to be integrated. example see the above mentioned issue for a video demo. here's a screenshot of the newly added button. usage after choosing the area and drawing markers, text, arrows etc. - use ctrl+i or the invert button to save the screenshot with inverted colors. notes this isn't a perfect solution. people might want to invert colors while still drawing stuff or see a review of the inversion before saving the capture. additionally, more filters could be added maybe (comment by @mmahmoudian). however, my qt knowledge isn't by far good enough to be able to help with those things. from my point of view, this invert tool is a good solution for the time being and could still be extended at a later point. alright, that's it - let me know if i missed something or should update anything. ", add invert tool to build commands  add icons for invert tool  integrate invert tool  add shortcut for invert tool  add invert tool  add translation for invert tool  run clang-format ,,add a tool to take an inverted screenshot,add invert tool to build commands,invert colors when using flameshot,Implement Invert Colors Tool for Flameshot, Add Invert Tool for Flameshot to Invert Colors in Screenshots,add invert tool
" add or edit tests to reflect the change. (run with npm test.) follow the advice from the readme. avoid common mistakes. run npm run lint package-name (or tsc if no tslint.json is present). provide a url to documentation or source code which provides context for the suggested changes:  if you are making substantial changes, consider adding a tslint.json containing { ""extends"": ""dtslint/dt.json"" }. if for reason the any rule need to be disabled, disable it for that line using // tslint:disable-next-line [rulename] and not for whole package so that the need for disabling can be reviewed. ", added missing $filter overload  added missing $filter overload that allows multiple strings to translate and returns an object  merge remote-tracking branch 'upstream/master'  make visitor.id optional  update tests ,,pendo.io - make visitor.id optional in initialize(),add missing $filter overload,make visitor.id optional and update tests,Added missing $filter overload and made visitor.id optional, make visitor.id optional and update tests,add location type arg for query params to route definition v3
" a suggestion for improving docs. i spent a while trying to figure out where additional configmaps are uploaded to the halyard pod on a k8s spinnaker deployment so they could be used in config scripts, and this one line would've helped. i realize spinnaker is deployed on multiple kinds of infra, not just k8s, which is why i didn't mention a halyard pod, but maybe there's a better way to make this note generic. dco signed "," move the api_host variable to deck.yml, where it belongs  bump chart version for gate fix  merge remote-tracking branch 'upstream/master'  noting where additional config maps are written to disk may be helpful to beginners ",,add note to spinnaker doc about destination path for additionalconfigmaps,fix halyard pod configmaps for k8s,add note about where additional configmaps are uploaded to disk,improve documentation for halyard configmap upload locations, improve documentation on configmap location for halyard,add note about additional configmaps uploaded to halyard pod
 remove the code that is not useful in the loop , remove spaces before and after the properties  update mixall.java  remove spaces before and after the properties  remove spaces before and after the properties  remove spaces before and after the properties ,,[rocketmq-226]remove the code that is not useful in the loop,remove the code that is not useful in the loop,remove spaces before and after the properties,fix whitespace issues in properties files," Refactor properties files: fix trailing spaces, missing escapes, and formatting issues",remove spaces before and after the properties
" #243 added a single-endpoint configuration option for an elasticache replication group that used dns polling to determine when a failover had occurred. this had the drawback of requiring the application to ensure the jvm did not cache dns lookups. additionally, it left the read slave(s) of the replication group unused; only the master node would ever be queried. this pr adds an elasticachereplicationgroupserversconfig (such a long class name!) for the specification of all nodes in the replication group (as auto-discovery is unsupported in redis elasticache). a new elasticachereplicationgroupconnectionmanager then uses info replication to determine the role of each node and polls each node at a configurable interval (default: 1000ms - same as cluster polling) to determine if the role has changed. example code: public static void main(string[] args) { config config = new config(); config.useelasticachereplicationgroupservers().addnodeaddress(args); redisson r = redisson.create(config); r.flushdb(); ratomiclong al = r.getatomiclong(""testlong""); while (true) { try { system.out.println(system.currenttimemillis() +"":""+ al.addandget(1)); } catch (throwable t) { system.out.println(""exception: "" + t); t.printstacktrace(system.out); } try { thread.sleep(1000); } catch (interruptedexception ignored) {} } } output (foo-002 is promoted while program runs): java -jar test.jar foo-001.cache.amazonaws.com:6379 foo-002.cache.amonaws.com:6379 1441997395811:1 1441997396819:2 1441997397822:3 ... 1441997422911:31 exception: org.redisson.client.redisexception: readonly you can't write against a read only slave.. channel: [id: 0xddd6cc97, /10.0.x.x:42009 => foo-001.cache.amazonaws.com/10.0.y.y:6379] command: commanddata [promise=defaultpromise@644b9548(incomplete), command=rediscommand [name=incrby, subname=null], params=[testlong, 1], codec=org.redisson.client.codec.stringcodec@469956b0] ... 1441997435035:32 1441997436041:33 ... note exception still occurs for the command that was pending against foo-001 when failover happened, but will succeed on retry after the failover has been detected. "," elasticache replication group server configuration  uses ""info replication"" to determine which node is master and which are  slaves.  no need to invoke slavedown(). also some non-functional cleanup ",,master / slave configuration for elasticache replication group,add a single-endpoint configuration option for elasticache replication group,"use ""info replication"" to determine which nodes are master and which are slave",fix removestashindex of objectmap, Add Elasticache Replication Group Server Configuration and Connection Manager,add support for specifying all nodes in an elasticache replication group
" this pr proposes to migrate the test_compatible_versions unit test from snapshots to a blocks.log based system.  this removes any dependency on the post-conditions of the methods used to construct blockchains in our tester framework. instead of building a ""new"" chain in a way that was intended to be deterministic but rarely was in practice, the new process will load replay a small blocks.log file to reconstruct the head state of the chain with the latest code.   it will then systematically check that this state is also recoverable from v2, v3 and v4 snapshots of that same chain. this pr also restores the full integrity checksum based check. the blocks.log was created using v1.8.14 so as to have minimal requirements on the reading process.  if the minimum compatible blocks.log version exceeds the version produced by v1.8.14 then this blocks.log may need to be migrated to a newer version. the snapshots were created with the following versions based on this blocks.log: v2 : v1.8.14 tag v3 : v2.0.7 tag v4 :  26e4100 commit (aka head before the new snapshot was added) the unit test now takes an additional program option: --generate-snapshot-log which will attempt to deterministically recreate the blocks.log file prior to running the test.  this will not overwrite the repo version automatically.  there is no guarantee that the resulting chain matches the existing log but this may be useful in the future when a snapshot bump cleans out old versions and we want to start fresh the pre-existing --save-snapshot still works and will be useful as a forward compatible way of generating the future snapshots for this test.  when a new version is created, the author would need to add it to the list of tested versions, run the unit-test with --save-snapshot then copy the file(s) from <build>/unitttests/snapshosts/snap_v*.{bin,json}.gz to the working tree. ", migrate to log based construction  refactor snapshot test to build state from a blocks.log file instead of a set of tester methods; create v4 snapshots in prep for farming older versions  created a blocks.log compatible with 1.8.x  created v2 snapshots from v1.8.14 tag  created v3 snapshots from v2.0.7 tag  re-created v4 snapshots with the blocks.log that was 1.8.x compatible ,,change to log based snapshot test,migrate to log based construction,migrate test_compatible_versions unit test to blocks.log based system,Migrate test_compatible_versions unit test from snapshots to blocks.log based system, migrate test_compatible_versions from snapshots to blocks.log based system,migrate test_compatible_versions to use blocks.log for snapshots
" this updates the release notes for the breaking changes to -usehd option and the getinfo rpc. also, bumps the manpages to current master. ", doc: bump manpages to 0.15.99  doc: update release notes for 0.16.0 ,,update release notes and manpages for 0.16,update release notes for 0.16.0,update release notes for 0.16.0,update release notes for 0.16.0 and bump manpages, Update Release Notes for 0.16.0 and Bump Manpages to 0.15.99,bump manpages to 0.15.99 and update release notes for 0.16.0
" since the endianness of test dataset is little-endian, conversions are required on big-endian machines.  related issue is also written in #1730 this pr fixes small part of the issue, and we need to convert more to pass all onnx tests by pytest. however, this enables all of onnx-mlir test to pass. the test cases are written in test code i would like to hear your comments or suggestions about this approach. ", added big-endian support by converting little-endian data in numpy_helper  convert byte ordering only in test which uses little-endian data (removed previous modification to numpy_helper.py)  removed unnecessary modification for onnf test  removed unnecessary blank ,,convert endianness of test dataset to pass tests of onnx-mlir on big-endian machines,added big-endian support by converting little-endian data in numpy_helper,add big-endian support to numpy_helper,fix big-endian support for onnx-mlir tests, added big-endian support for onnx-mlir tests,added big-endian support by converting little-endian data in numpy_helper
" removed and renamed several files that do not exist or have been renamed, but the project files had never been updated.  this was causing an issue building with visual studio 2015/2017, with a ""project is out of date"" warning every time the program is run from within the ide. "," [libcocos2d.vcxproj, libcocos2d.vcxproj.filters] removed entries for non-existent files that were causing ""build is out of date"" issues in visual studio  [project.pbxproj] removed entries for non-existent file  [libcocos2d.vcxproj.filters] renamed ccstencilstatemanager.h extension to .hpp.  [libcocos2d.vcxproj, libcocos2d.vcxproj.filters] removed entry for file ccdownloaderimpl.h which does not exist. ",,vs and xcode project files have non-existent file references,removed and renamed files that do not exist or have been updated,"removed and renamed files that were causing ""build is out of date"" issues",fix project files for visual studio 2015/2017," Fix ""build is out of date"" issues in Visual Studio 2015/2017",remove and rename several files that do not exist
 for #11709 , rename clusterpersistrepositoryconfiguration  refactor gov spring namespace  refactor standalone spring name space  refactor cluster spring name space  remove useless codes  move cluster repository.xsd  move standalone repository.xsd  rename test cases ,,refactor gov spring namespace to cluster,refactor clusterpersistrepositoryconfiguration gov spring namespace,refactor gov spring namespace,rename and refactor spring namespace configurations, Refactor Spring Namespace for Governance and Standalone Configurations,refactor spring namespace for governance
 fix instructions mentioned in #6181 goes with r2r pr radare/radare2-regressions#627 , enhance sub op support for thumb arch  generate correct instructions up to 0x100  improve support for add instruction for thumb arch ,,fix add and sub for arm thumb fix #6181,improve support for thumb arch,improve sub op support for thumb arch,fix thumb assembly issues #6181, fix thumb assembly instructions #6181,update thumb arch disassembler
 summary added the op batch_normalization in the numpy backend. related issues pr overview added the function in the numpy backend added the numpy implementation in the docs added tests. this pr requires new unit tests [y/n] (make sure tests are included) this pr requires to update the documentation [y/n] (make sure the docs are up-to-date) this pr is backwards compatible [y/n] this pr changes the current api [y/n] (all api changes need to be approved by fchollet) , finished the functions.  started doing the test function.  added the batch_normalization operation to the numpy backend. ,,added batch_normalization in the numpy backend.,added the batch_normalization function in the numpy backend,added batch_normalization operation to the numpy backend,added batch normalization to numpy backend, added batch_normalization operation to numpy backend with tests and docs,added the op batch_normalization in the numpy backend
 this closes probtorch#87. math checked and approved by @fritzo cc: @apaszke ," init f distribution  rename f to fishersnedecor, add tests and docs  remove other samplers, fix shape error and add new kl for dirichlet  update entropy function in fisher-snedecor  add comment regarding f-distribution entropy test  remove entropy and revert changes in kl.py ", implement f-distribution ,implementation of the fisher-snedecor distribution,"rename f to fishersnedecor, add tests and docs",implement f distribution in fishersnedecor,implementation of the f-distribution, implement f-distribution and related updates,[DONE] implement f-distribution
" fixes #19074 this change disables image lazy-loading when both of the following are true: a image is being rendered following a client-side page transition the image has been previously loaded during this session. before this change, all images with lazy-loading enabled have a visible flicker during client-side page transitions, even though they're already loaded. with this change, there's are two performance risks: there's a chance that some offscreen images will have lazy-loading disabled unnecessarily because they were previously loaded. i think the performance hit here is pretty negligible and the situation is unlikely to come up very often. there's a chance a different-sized version of the image will be selected by the browser, but lazy-loading will be disabled anyway. this seems even more unlikely to me, and anyway the performance hit from a stray un-lazy-loaded image (on a client-side transition) is very minor. in both cases, i think the performance risk is outweighed by the ux improvement of getting rid of the image flicker on page transition. ", don't lazy-load already-loaded image in csr  fixes 19074  scope change to client-side only , [next/image] repeated images rerender on every page switch. ,don't lazy-load already-loaded image in client-side transition,don't lazy-load already-loaded image in csr,don't lazy-load already loaded images in csr,fix image lazy-loading flicker on client-side page transitions, fix image flicker during client-side page transitions by disabling lazy-loading for previously loaded images,[next/image] disable lazy-loading for already-loaded images on client-side transitions
" fixes  #66304 r? @gilescope shows both the actual as well as the expected panic value when a test with should_panic(expected=...) fails. this makes should_panic more consistent with assert_eq. i am not sure whether printing the any::type_id() is useful, is there something better that we could print for non-string panic values? ", print a more useful error message on should_panic mismatch  replace some asserts with assert_eq for better error readability , better error messages for #[should_panic] tests with expected strings ,more useful test error messages on should_panic(expected=...) mismatch,print more useful error messages on should_panic mismatch,better error messages for #[should_panic] tests with expected strings,better error messages for #[should_panic] tests with expected strings, improve error messages for #[should_panic] tests with expected strings (fixes #66304),print actual and expected panic value when should_panic fails
" signature help for tagged templates this pr enables signature help support in the language service for tagged template strings. the idea is that a tagged template is a bit of an implicit function invocation. whenever a user requests signature help (or it is triggered by the consuming environment), we should figure out what function a tag refers to, which overload should be chosen, and which parameter is currently being fed. substitution-argument correspondence when a template expression is tagged, each substitution expression corresponds to an argument in invoking that tag. specifically, the nth substitution expression in a tagged template expression is the (n+1)th argument in an invocation. templatestringsarray argument whenever the cursor lies within a template literal (whether a no-substitution literal, or a fragment of a template expression), the parameter in question is the first parameter of the tag in question. this is because each template literal in a tagged template corresponds to an array element in the cooked/raw array object specified in es6. this means that as the cursor moves through a template expression, parameters will not be highlighted from left-to-right consistently. "," initial signature help work for tagged templates.  stylistic changes/comment fixups.  got sig help working in the template head.  got sig help working in tagged no-sub templates.  refactored code, adjusted for residing out of bounds of the template.  fixed isunclosedtemplateliteral to account for new possible inputs.  conflicts:  src/services/signaturehelp.ts  fixed template head offsetting.  tests for signature help on tagged templates with no overloads.  added tests for overloads.  fixed broken test. ",,tagged template signature help support in language service,signature help for tagged templates,signature help for tagged templates,add signature help for tagged templates, enable signature help support for tagged template strings,enable signature help for tagged templates
" implements wait and retry logic on ray.connect() this takes care of the case where the server is not yet ready, but does not yet cover the case where the server drops mid-connection (still to come). first half of #13353 i've run scripts/format.sh to lint the changes in this pr. ", [ray_client]: wait until connection ready  change-id: ie443be60c33ab7d6da406b3dcaa57fbb7ba57dd6  lint  change-id: i30f8e870bbd5f8859a9f11ae244e210f077cedd0 ,,wait for ready and retry on ray.connect(),wait and retry logic on ray.connect(),wait until server is ready,fix wait and retry logic on ray.connect(), Implement wait and retry logic for ray.connect(),add wait and retry logic to ray.connect()
 adds getstringview as a convenience function to get string_view from a string returning an empty string_view on null pointer. ," added missing endtable() call to verifyobject()  verifyobject called verifytablestart() but not endtable(). this made verifier::verifycomplexity() increase depth_ with each table, not with the depth of tables.    merge remote-tracking branch 'upstream/master'  merge remote-tracking branch 'upstream/master'  added check to verifyalignment    add getstringview (convenience function to get string_view from a string returning an empty string_view on null pointer) like getstring, getcstring ",,"add getstringview like getstring, getcstring",add getstringview as a convenience function,add getstringview and getcstring to verifyalignment,add getstringview as a convenience function to get string_view from a string returning an empty string_view on null pointer, add getstringview for string_view convenience,add getstringview as a convenience function to get string_view from a string returning an empty string_view on null pointer
" while streaming from obs on an unstable connection, i have found instances where obs will hang until it is force quit. during some testing with arut/nginx-rtmp-module proxying connections i found that when the obs that was streaming to nginx-rtmp-module had network issues it would cause the obs to hang and never recover. i eventually identified that the server was sending a netstream.publish.badname status message that was never handled. more information from adobe about that error can be found on their site. i would like obs to not hang when there are network glitches. i tested this on macos by making a build on my macbook pro and did the following: from the nginx config: application stream { live on; publish_notify on; play_restart on; } steps: turn off wifi and connect the macbook pro via ethernet start obs via the command line start a custom stream to an nginx-rtmp server disconnect the ethernet plug it back in 10 seconds later i checked the logs and status bar to see if the system reconnected. it would not reconnect when using obs in master but would reconnect when using this branch. bug fix (non-breaking change which fixes an issue) my code has been run through clang-format. i have read the contributing document. ", obs-outputs: handle rtmp netstream.publish.badname response  adobe media server and nginx-rtmp can return this status response to a  publisher if the key is already being used to publish.  obs-outputs: log unhandled rtmp status responses  rtmp status responses that are not handled are currently silently ignored  making it difficult to identify issues. ,,handle netstream.publish.badname from rtmp server,handle obs-outputs on unstable connections,don't hang on unstable connections,fixes for rtmp connection stability, handle rtmp netstream.publish.badname response and log unhandled statuses,fix rtmp netstream.publish.badname hang
